userid, newsid
10285630,100654615
10285630,100654294
1028766,100646808
1028766,100647737
1029127,100652367
1029127,100652447
1029185,100650872
1029185,100650718
1029259,100646808
1029259,100647737
1029594,100646808
1029594,100647737
1029704,100646808
1029704,100647737
10300977,100657423
10300977,100658513
1030621,100655704
1030621,100657423
1030704,100649791
1030704,100649739
1030808,100646808
1030808,100647737
1031596,100646808
1031596,100647737
10317162,100657878
10317162,100658513
1031880,100646808
1031880,100647737
1032010,100646808
1032010,100647737
1032226,100646808
1032226,100647737
1032233,100646808
1032233,100647737
1032268,100652367
1032268,100652447
1032293,100649791
1032293,100649739
1032435,100646808
1032435,100647737
1032508,100654615
1032508,100654294
103259,100646808
103259,100646919
1032782,100646808
1032782,100647737
1032851,100650872
1032851,100651048
10334,100655208
10334,100654615
1033476,100646808
1033476,100647737
1033682,100646808
1033682,100647737
10337002,100654615
10337002,100654294
1033729,100646808
1033729,100647737
1034178,100646808
1034178,100647737
1034253,100650872
1034253,100650718
1034269,100649791
1034269,100648778
1035079,100650872
1035079,100650718
1035112,100655704
1035112,100656910
103534,100645330
103534,100645816
1035505,100646808
1035505,100647737
1035736,100646808
1035736,100647737
1036011,100646808
1036011,100647737
1036118,100646808
1036118,100647737
1036292,100655208
1036292,100654615
1036330,100646808
1036330,100647737
1036396,100646808
1036396,100647737
103655,100648778
103655,100647737
1036792,100652367
1036792,100652447
1037621,100646808
1037621,100647737
1037679,100646808
1037679,100647737
1038073,100657423
1038073,100656910
1038422,100646808
1038422,100647737
1039322,100646808
1039322,100647737
1039630,100649791
1039630,100649739
1039805,100648778
1039805,100647737
1040256,100648778
1040256,100647737
1040669,100655704
1040669,100656910
1041216,100646808
1041216,100647737
1041749,100649791
1041749,100649739
1042164,100646808
1042164,100647737
10422633,100655704
10422633,100656910
1042514,100657423
1042514,100656910
10429521,100655208
10429521,100654615
10429942,100655208
10429942,100654615
10430407,100655208
10430407,100654615
10430470,100657878
10430470,100658513
10430473,100655208
10430473,100654615
10431015,100655208
10431015,100654615
10431027,100655208
10431027,100654615
10431924,100655208
10431924,100654615
10432182,100655208
10432182,100654615
10432646,100655208
10432646,100654615
1043302,100646808
1043302,100647737
10433583,100655208
10433583,100654615
10433695,100655208
10433695,100654615
10433748,100655208
10433748,100654615
1043470,100646808
1043470,100647737
10435145,100655208
10435145,100654615
10435309,100655208
10435309,100654615
10435342,100655208
10435342,100654615
10435866,100655208
10435866,100654615
10435871,100655208
10435871,100654615
10435900,100655208
10435900,100654615
10435952,100655208
10435952,100654615
10436980,100655208
10436980,100654615
10437098,100655208
10437098,100654615
10437747,100655208
10437747,100654615
10439011,100655208
10439011,100654615
10439628,100655208
10439628,100654615
10440095,100655208
10440095,100654615
10440154,100655208
10440154,100654615
10440361,100655208
10440361,100654615
10441225,100655208
10441225,100654615
10441969,100655208
10441969,100655704
1044201,100646808
1044201,100647737
10442658,100655208
10442658,100654615
1044269,100646808
1044269,100647737
10442995,100655208
10442995,100654615
10443132,100655208
10443132,100654615
10443723,100655208
10443723,100654615
1044441,100649791
1044441,100649739
10444419,100655704
10444419,100656910
104451,100650872
104451,100650718
10445222,100655208
10445222,100654615
1044557,100646808
1044557,100647737
1044672,100655208
1044672,100655704
10446737,100655208
10446737,100654615
10446859,100655208
10446859,100654615
10447857,100655208
10447857,100654615
1044853,100646808
1044853,100647737
10448923,100655208
10448923,100654615
10449154,100655208
10449154,100654615
1044922,100646808
1044922,100647737
10450345,100655208
10450345,100654615
10450587,100655208
10450587,100654615
1045087,100646808
1045087,100647737
10453095,100655208
10453095,100654615
10453168,100655208
10453168,100654615
10453610,100655208
10453610,100654615
10455132,100655208
10455132,100654615
10455375,100655208
10455375,100654615
10456042,100655208
10456042,100654615
10456207,100655208
10456207,100654615
10456461,100655208
10456461,100654615
10456570,100655208
10456570,100654615
10457047,100655208
10457047,100654615
1045722,100649791
1045722,100649739
1045776,100649791
1045776,100649739
10457801,100655208
10457801,100654615
10457808,100655208
10457808,100654615
10457941,100655208
10457941,100654615
10458096,100655208
10458096,100654615
1045813,100646808
1045813,100647737
10458446,100655208
10458446,100654615
1045897,100646808
1045897,100647737
10459397,100655208
10459397,100654615
10460756,100655208
10460756,100654615
10461068,100655208
10461068,100654615
10463527,100655208
10463527,100654615
1046463,100646808
1046463,100647737
10464978,100657423
10464978,100656910
10465875,100655208
10465875,100654615
10466,100657878
10466,100658513
1046745,100646808
1046745,100647737
10471684,100655208
10471684,100654615
10474058,100655208
10474058,100654615
10474412,100655208
10474412,100654615
10475039,100655704
10475039,100656910
104766,100657878
104766,100658513
10479155,100655208
10479155,100654615
1047933,100646808
1047933,100647737
1047990,100646808
1047990,100647737
10480716,100655208
10480716,100654615
1048147,100646808
1048147,100647737
10482347,100655208
10482347,100654615
10486450,100655208
10486450,100654615
10489534,100655208
10489534,100654615
10494817,100655208
10494817,100654615
1049634,100646808
1049634,100647737
1050021,100655208
1050021,100655704
10503214,100655208
10503214,100654615
1050400,100646808
1050400,100647737
10504501,100657423
10504501,100656910
1051235,100650872
1051235,100650718
10522361,100657878
10522361,100658513
10523632,100657878
10523632,100658513
1052507,100654615
1052507,100654294
10527757,100657878
10527757,100658513
1052825,100646808
1052825,100647737
10529689,100657878
10529689,100659144
1053479,100646808
1053479,100647737
10535203,100655208
10535203,100654615
1053791,100646808
1053791,100647737
1054077,100646808
1054077,100647737
1054450,100646808
1054450,100647737
1054467,100649791
1054467,100649739
1054977,100646808
1054977,100647737
1055016,100646808
1055016,100647737
1055061,100646808
1055061,100647737
1055428,100646808
1055428,100647737
1055547,100646808
1055547,100647737
1055931,100646808
1055931,100647737
10569202,100655208
10569202,100655704
1057808,100646808
1057808,100647737
105798,100647737
105798,100646919
1058649,100646808
1058649,100647737
1058717,100652367
1058717,100651048
10592746,100657423
10592746,100656910
1059495,100652447
1059495,100652727
1059753,100646808
1059753,100647737
1060151,100646808
1060151,100647737
1060153,100655704
1060153,100657423
1060459,100646808
1060459,100647737
10611299,100655704
10611299,100657423
1061134,100646808
1061134,100647737
1061821,100648778
1061821,100647737
10619614,100655208
10619614,100655704
10620203,100655208
10620203,100654615
10620335,100655704
10620335,100656910
10621003,100657423
10621003,100656910
10621023,100655208
10621023,100655704
10621238,100655208
10621238,100655704
10621424,100655208
10621424,100655704
1062159,100646808
1062159,100647737
1062172,100649791
1062172,100649739
10622583,100655208
10622583,100655704
10623090,100655208
10623090,100655704
10623108,100655208
10623108,100655704
10624602,100655208
10624602,100655704
10625555,100655208
10625555,100655704
10625608,100655208
10625608,100655704
1062585,100646808
1062585,100647737
10626081,100655208
10626081,100655704
10626148,100657423
10626148,100658513
10626865,100655208
10626865,100655704
1062688,100646808
1062688,100647737
10629033,100655208
10629033,100655704
10629317,100655208
10629317,100655704
10629353,100655208
10629353,100655704
10629387,100655208
10629387,100655704
10630056,100655208
10630056,100655704
10632878,100655208
10632878,100655704
10633997,100655208
10633997,100655704
10636133,100655208
10636133,100655704
10636315,100655208
10636315,100655704
1063713,100646808
1063713,100647737
10637965,100655208
10637965,100654615
10637966,100655208
10637966,100654615
10638337,100655208
10638337,100655704
10639516,100655208
10639516,100655704
10640465,100655208
10640465,100655704
1064052,100652367
1064052,100652447
10640647,100655208
10640647,100655704
10640843,100655208
10640843,100655704
1064221,100646808
1064221,100647737
1064256,100655208
1064256,100654615
10642670,100655208
10642670,100654615
10642853,100655208
10642853,100655704
10642877,100657878
10642877,100658513
10643274,100655208
10643274,100654615
10648333,100655208
10648333,100655704
1065298,100646808
1065298,100647737
10653546,100655208
10653546,100655704
10653861,100655208
10653861,100655704
10657404,100655704
10657404,100657423
10657430,100655208
10657430,100655704
10657711,100655208
10657711,100655704
10657988,100655208
10657988,100654615
1065852,100646808
1065852,100647737
10659009,100655208
10659009,100654615
10659111,100657423
10659111,100656910
10659953,100655208
10659953,100655704
10660021,100657878
10660021,100658513
10661984,100655208
10661984,100655704
1066296,100649791
1066296,100649739
10663271,100655208
10663271,100655704
10663402,100655208
10663402,100654615
10663723,100655208
10663723,100655704
10667147,100655208
10667147,100655704
1066972,100646808
1066972,100647737
10669960,100657878
10669960,100658513
10671371,100657878
10671371,100658513
1067213,100646808
1067213,100647737
10673126,100655208
10673126,100654615
1067381,100646808
1067381,100647737
10675176,100655208
10675176,100654615
1067720,100646808
1067720,100647737
10678548,100657423
10678548,100656910
1067862,100646808
1067862,100647737
10678966,100657423
10678966,100656910
10680008,100655208
10680008,100655704
10680121,100657423
10680121,100656910
10684553,100655208
10684553,100655704
1068494,100646808
1068494,100647737
10685281,100655208
10685281,100654615
10686775,100655704
10686775,100656910
10698477,100657423
10698477,100658513
1070023,100646808
1070023,100647737
1070171,100650872
1070171,100650718
10701774,100657878
10701774,100658513
10702708,100655208
10702708,100655704
1070280,100646808
1070280,100647737
10704115,100655208
10704115,100654615
1070517,100649791
1070517,100649739
1070671,100649791
1070671,100649739
1070726,100646808
1070726,100647737
10708106,100655208
10708106,100655704
1071997,100646808
1071997,100647737
107212,100657878
107212,100658513
1072161,100652367
1072161,100652447
10723613,100655208
10723613,100655704
10724431,100657423
10724431,100656910
1072565,100646808
1072565,100647737
10725736,100655208
10725736,100655704
1072632,100646808
1072632,100647737
1072656,100652367
1072656,100652447
10729379,100655704
10729379,100656910
10730557,100657423
10730557,100656910
1073261,100649791
1073261,100649739
10733764,100657423
10733764,100656910
10733794,100655704
10733794,100656910
10733940,100655208
10733940,100654615
1073435,100646808
1073435,100647737
10735829,100657878
10735829,100658513
1073688,100646808
1073688,100647737
1074470,100646808
1074470,100647737
10752634,100655208
10752634,100655704
1075535,100649791
1075535,100649739
1075677,100649791
1075677,100649739
10759900,100655208
10759900,100654615
1076610,100649791
1076610,100649739
1076694,100646808
1076694,100647737
10767705,100657423
10767705,100656910
107685,100657878
107685,100658513
1077083,100646808
1077083,100647737
1077343,100650872
1077343,100650718
1077548,100646808
1077548,100647737
1077788,100646808
1077788,100647737
10779,100652367
10779,100652447
1077924,100652367
1077924,100652447
10781346,100657878
10781346,100658513
1078758,100646808
1078758,100647737
10796674,100655208
10796674,100655704
10797728,100657423
10797728,100656910
1080224,100646808
1080224,100647737
10806572,100657423
10806572,100656910
10807189,100655704
10807189,100657423
108074,100645330
108074,100645816
10815164,100657878
10815164,100658513
1081749,100646808
1081749,100647737
1081914,100655208
1081914,100654615
1081919,100652367
1081919,100652447
1082299,100652727
1082299,100654615
108259,100657878
108259,100659144
10827078,100657878
10827078,100658513
1082835,100646808
1082835,100647737
1083182,100646808
1083182,100647737
1083218,100646808
1083218,100647737
1083675,100649791
1083675,100649739
1084014,100649791
1084014,100649739
10844144,100655208
10844144,100655704
1085538,100652367
1085538,100652447
1085682,100649791
1085682,100649739
1085791,100646808
1085791,100647737
1086318,100646808
1086318,100647737
108703,100655208
108703,100655704
1087151,100646808
1087151,100647737
1087221,100646808
1087221,100647737
1087544,100650872
1087544,100650718
1088138,100646808
1088138,100647737
1088515,100646808
1088515,100647737
1089024,100646808
1089024,100647737
1089223,100646808
1089223,100647737
1089888,100646808
1089888,100647737
10900025,100655208
10900025,100655704
10900113,100655208
10900113,100655704
10900318,100657878
10900318,100658513
10901284,100655208
10901284,100655704
10901581,100655208
10901581,100655704
10902918,100655208
10902918,100655704
10903643,100655208
10903643,100655704
10903977,100655208
10903977,100655704
10904972,100655208
10904972,100655704
10906354,100655208
10906354,100655704
10906483,100657423
10906483,100656910
1090674,100646808
1090674,100647737
10908993,100657878
10908993,100658513
10909671,100655208
10909671,100655704
10909803,100655208
10909803,100655704
10910902,100655208
10910902,100655704
10911099,100655208
10911099,100655704
10912638,100655208
10912638,100655704
10912984,100655208
10912984,100655704
10913448,100655208
10913448,100655704
10917126,100655704
10917126,100656910
10917665,100655208
10917665,100655704
1091814,100650872
1091814,100650718
10918303,100655208
10918303,100655704
10919519,100655208
10919519,100655704
1092014,100655208
1092014,100654615
10920909,100655208
10920909,100655704
10922178,100655208
10922178,100655704
1092272,100646808
1092272,100647737
10922851,100655208
10922851,100655704
1092820,100650872
1092820,100650718
10928246,100655208
10928246,100655704
1093097,100646808
1093097,100647737
1093409,100650872
1093409,100650718
109373,100652367
109373,100652447
1093974,100646808
1093974,100647737
1094116,100648778
1094116,100647737
1094148,100646808
1094148,100647737
10942671,100655704
10942671,100656910
1094402,100646808
1094402,100647737
109441,100657878
109441,100658513
10944232,100657423
10944232,100656910
10944842,100655208
10944842,100655704
1094591,100646808
1094591,100647737
1095022,100646808
1095022,100647737
10951081,100657423
10951081,100656910
1095608,100646808
1095608,100647737
10959131,100657878
10959131,100658513
1096129,100649791
1096129,100649739
1096222,100646808
1096222,100647737
10962354,100657878
10962354,100658513
109624,100655208
109624,100655704
10964166,100657423
10964166,100658513
1096540,100650872
1096540,100651048
10967298,100655208
10967298,100655704
10968004,100657878
10968004,100658513
1097698,100648778
1097698,100649739
1097771,100649791
1097771,100649739
1097868,100646808
1097868,100647737
10981883,100657423
10981883,100657878
1098969,100646808
1098969,100647737
1099007,100646808
1099007,100647737
10993010,100657878
10993010,100659144
10994419,100655208
10994419,100655704
10994613,100657878
10994613,100658513
10995045,100655704
10995045,100656910
10995959,100655208
10995959,100655704
10995976,100655208
10995976,100655704
10998008,100657878
10998008,100658513
10998581,100655704
10998581,100656910
10999841,100657878
10999841,100658513
11000097,100655704
11000097,100656910
1100170,100646808
1100170,100647737
11001828,100655208
11001828,100655704
11003428,100657878
11003428,100658513
11003818,100657423
11003818,100657878
1100384,100646808
1100384,100647737
11004167,100655704
11004167,100655887
1100611,100646808
1100611,100647737
1100886,100646808
1100886,100647737
11012150,100655208
11012150,100655704
11013098,100655208
11013098,100655704
11013260,100655704
11013260,100656910
1101430,100649791
1101430,100649739
1101493,100646808
1101493,100647737
1101517,100655208
1101517,100655704
11016861,100657878
11016861,100658513
1101838,100646808
1101838,100647737
1101911,100649791
1101911,100649739
11025171,100655208
11025171,100655704
1102855,100655208
1102855,100654615
1103196,100655208
1103196,100654615
1103718,100646808
1103718,100647737
1104315,100648778
1104315,100647737
1104338,100652367
1104338,100652447
110435,100648778
110435,100647737
1104902,100646808
1104902,100647737
11052899,100655704
11052899,100657423
11053019,100655704
11053019,100657423
11053066,100655704
11053066,100657423
11053287,100655704
11053287,100656910
11055464,100655704
11055464,100657423
11055499,100655704
11055499,100657423
11055862,100655704
11055862,100657423
11056156,100655704
11056156,100656910
11056437,100655704
11056437,100656910
1105694,100652367
1105694,100652447
11057325,100655704
11057325,100656910
11057884,100655704
11057884,100656910
1105798,100657423
1105798,100656910
11058199,100655704
11058199,100657423
11058474,100655704
11058474,100657423
1105915,100655208
1105915,100654615
1105916,100646808
1105916,100647737
11059169,100657878
11059169,100658513
11059259,100655704
11059259,100656910
11059316,100655704
11059316,100656910
11059540,100655704
11059540,100657423
11060208,100655704
11060208,100657423
11060507,100655704
11060507,100657423
11060903,100655704
11060903,100656910
11061532,100655704
11061532,100657423
1106287,100646808
1106287,100647737
11063453,100655704
11063453,100656910
11063697,100655704
11063697,100657423
11064006,100655704
11064006,100657423
11064144,100655704
11064144,100656910
11064217,100655704
11064217,100657423
11064325,100657878
11064325,100658513
11065109,100655704
11065109,100656910
11066086,100655704
11066086,100656910
11066366,100655704
11066366,100657423
11066992,100655704
11066992,100657423
1106738,100646808
1106738,100647737
1106773,100646808
1106773,100647737
11067999,100655704
11067999,100656910
11068219,100655704
11068219,100657423
1106850,100652367
1106850,100652447
11068667,100655704
11068667,100656910
11068761,100655704
11068761,100656910
11068862,100655704
11068862,100656910
11068904,100655704
11068904,100657423
11069516,100655704
11069516,100657423
1107011,100646808
1107011,100647737
11070350,100655704
11070350,100657423
11071231,100655704
11071231,100656910
11071384,100655704
11071384,100657423
1107159,100650872
1107159,100650718
110717,100650872
110717,100650718
11072283,100655704
11072283,100657423
1107235,100650872
1107235,100650718
11072666,100655704
11072666,100657423
11073456,100655704
11073456,100656910
11075319,100657423
11075319,100657878
11075829,100655704
11075829,100656910
11076703,100655704
11076703,100656910
11078686,100655704
11078686,100657423
11080612,100655704
11080612,100657423
11080773,100655704
11080773,100656910
11081065,100655704
11081065,100656910
11082895,100655704
11082895,100657423
1108638,100646808
1108638,100647737
11087935,100655704
11087935,100657423
11088172,100655704
11088172,100657423
11091377,100658513
11091377,100659144
1109151,100655208
1109151,100654615
11092020,100655704
11092020,100656910
11095615,100655704
11095615,100657423
11096331,100655704
11096331,100656910
11096758,100655704
11096758,100656910
1109864,100646808
1109864,100647737
111,100644693
111,100645330
11101545,100657423
11101545,100656910
11102618,100657423
11102618,100656910
11104495,100655704
11104495,100656910
11104573,100655704
11104573,100656910
11105652,100655704
11105652,100657423
1111053,100652367
1111053,100652447
11111811,100655704
11111811,100657423
1111201,100646808
1111201,100647737
1111344,100646808
1111344,100647737
11116184,100657423
11116184,100656910
1111759,100646808
1111759,100647737
11118288,100655704
11118288,100657423
11124082,100657423
11124082,100656910
1112493,100646808
1112493,100647737
11128293,100657878
11128293,100658513
11129253,100657423
11129253,100656910
11129365,100655704
11129365,100657423
11131620,100655704
11131620,100656910
1113181,100649791
1113181,100649739
11133122,100655704
11133122,100656910
1113394,100646808
1113394,100647737
11134234,100657878
11134234,100658513
11135198,100655704
11135198,100656910
11135616,100655704
11135616,100657423
11135910,100655704
11135910,100657423
1113741,100654615
1113741,100654294
11142177,100655704
11142177,100657423
11142518,100657878
11142518,100658513
1114258,100646808
1114258,100647737
1114351,100646808
1114351,100647737
11152087,100655704
11152087,100657423
1115451,100646808
1115451,100647737
1115582,100646808
1115582,100647737
1115698,100649791
1115698,100649739
1115713,100646808
1115713,100647737
1115765,100646808
1115765,100647737
1116002,100646808
1116002,100647737
1116514,100646808
1116514,100647737
11169725,100655704
11169725,100657423
1118237,100646808
1118237,100647737
1118449,100649791
1118449,100649739
1118580,100650872
1118580,100650718
11191967,100657878
11191967,100658513
1119328,100646808
1119328,100647737
11195308,100655704
11195308,100657423
1119703,100646808
1119703,100647737
1119896,100646808
1119896,100647737
1120870,100654615
1120870,100654294
1123068,100646808
1123068,100647737
1123097,100655208
1123097,100655704
1123579,100646808
1123579,100647737
1123859,100646808
1123859,100647737
11243111,100657878
11243111,100658513
1124776,100646808
1124776,100647737
1124933,100646808
1124933,100647737
1124934,100646808
1124934,100647737
1125004,100646808
1125004,100647737
11251679,100657878
11251679,100659144
112518,100645330
112518,100646695
1125248,100646808
1125248,100647737
1125364,100646808
1125364,100647737
1125927,100646808
1125927,100647737
1126234,100655208
1126234,100654615
1126408,100649791
1126408,100649739
1127171,100657878
1127171,100658513
1127389,100646808
1127389,100647737
1127707,100655704
1127707,100657423
1127721,100646808
1127721,100647737
11287804,100657878
11287804,100658513
1129068,100646808
1129068,100647737
1129164,100646808
1129164,100647737
1129455,100646808
1129455,100647737
11298388,100655704
11298388,100657423
1129968,100646808
1129968,100647737
11305133,100657878
11305133,100658513
1130762,100646808
1130762,100647737
1130856,100655208
1130856,100654615
1130913,100646808
1130913,100647737
1131015,100646808
1131015,100647737
1131699,100646808
1131699,100647737
1131968,100646808
1131968,100647737
1132328,100654615
1132328,100654294
1132334,100646808
1132334,100647737
11327773,100657423
11327773,100656910
1132898,100646808
1132898,100647737
1132912,100646808
1132912,100647737
1133079,100646808
1133079,100647737
11338740,100655704
11338740,100657423
11339469,100657423
11339469,100656910
11339833,100655704
11339833,100657423
11340076,100657878
11340076,100658513
1134096,100655208
1134096,100655704
113410,100655208
113410,100654615
11341266,100655704
11341266,100657423
11341276,100657878
11341276,100658513
11341340,100655704
11341340,100657423
11341617,100657423
11341617,100656910
11341894,100657423
11341894,100656910
1134294,100646808
1134294,100647737
11343107,100657423
11343107,100656910
1134312,100657423
1134312,100657878
11343965,100657423
11343965,100656910
11344283,100657423
11344283,100656910
11344566,100657423
11344566,100656910
11344895,100657423
11344895,100656910
11345670,100657423
11345670,100656910
11346273,100657423
11346273,100656910
11347859,100657423
11347859,100656910
11347978,100657423
11347978,100656910
1134935,100646808
1134935,100647737
11349478,100657423
11349478,100656910
11350775,100657423
11350775,100656910
11350906,100655704
11350906,100657423
11352397,100655704
11352397,100657423
1135259,100646808
1135259,100647737
11352776,100657423
11352776,100656910
11353601,100655704
11353601,100657423
11353633,100655704
11353633,100657423
1135391,100657423
1135391,100656910
113541,100648778
113541,100649085
11354287,100657423
11354287,100656910
1135453,100652367
1135453,100652447
11354975,100657423
11354975,100656910
1135572,100646808
1135572,100647737
1135598,100646808
1135598,100647737
11356622,100657423
11356622,100656910
11357213,100657423
11357213,100656910
11358746,100657423
11358746,100656910
11359177,100657423
11359177,100656910
11359517,100657423
11359517,100656910
1135997,100646808
1135997,100647737
11360151,100655704
11360151,100657423
11360187,100657423
11360187,100656910
11360208,100657423
11360208,100656910
11360451,100657423
11360451,100656910
11360941,100657423
11360941,100656910
11362167,100655704
11362167,100657423
11363135,100657423
11363135,100656910
11364781,100657423
11364781,100656910
11365125,100657423
11365125,100656910
11366787,100657423
11366787,100656910
1136812,100646808
1136812,100647737
11368695,100655704
11368695,100657423
11368957,100657423
11368957,100656910
1136940,100646808
1136940,100647737
11369785,100657423
11369785,100656910
1137,100645330
1137,100645816
11370595,100657423
11370595,100656910
11371236,100657423
11371236,100656910
1137160,100646808
1137160,100647737
11371870,100657423
11371870,100656910
1137573,100646808
1137573,100647737
11376608,100657878
11376608,100658513
11377312,100657423
11377312,100656910
11377384,100657423
11377384,100656910
11378198,100655704
11378198,100657423
11379745,100657423
11379745,100656910
1138081,100646808
1138081,100647737
1138148,100652367
1138148,100652447
11384558,100655704
11384558,100657423
11385101,100655704
11385101,100657423
1138518,100646808
1138518,100647737
11387762,100655704
11387762,100657423
11388517,100657423
11388517,100658513
11389356,100657423
11389356,100656910
11390461,100657423
11390461,100656910
11390839,100657423
11390839,100656910
11390950,100657423
11390950,100656910
11392710,100657423
11392710,100656910
1139279,100654615
1139279,100654294
11394725,100655704
11394725,100657423
11396604,100657423
11396604,100656910
11397711,100655704
11397711,100657423
11398258,100657423
11398258,100656910
11401670,100657423
11401670,100656910
11402202,100655704
11402202,100657423
11405260,100657423
11405260,100656910
1140699,100646808
1140699,100647737
11407105,100657423
11407105,100656910
11410704,100657423
11410704,100656910
11411592,100657423
11411592,100656910
11414012,100655704
11414012,100657423
11414566,100657423
11414566,100656910
11414580,100657423
11414580,100656910
11417213,100657423
11417213,100656910
11417429,100657423
11417429,100656910
114232,100655704
114232,100657423
11427106,100657423
11427106,100656910
1142735,100650872
1142735,100651048
11428261,100657423
11428261,100656910
11431798,100657423
11431798,100656910
11432558,100657423
11432558,100656910
11436219,100657423
11436219,100656910
11436684,100657423
11436684,100656910
1143704,100646808
1143704,100647737
114386,100645330
114386,100646695
1143918,100646808
1143918,100647737
1144050,100646808
1144050,100647737
1144092,100646808
1144092,100647737
1144188,100646808
1144188,100647737
114446,100657423
114446,100656910
